setor,id_firma,faixa_pessoal,numero_firmas_representadas,pessoal_ocupado_firma,market_share_domestico,preco_relativo,qualidade_media_ponderada,pessoal_ocupado_medio_por_firma,peso_variedade,tipo_agente,qualidade,qualidade_efetiva_coorte,qualidade_por_firma
A,A_C000001,coorte de 100 firmas,100,12908,0.0010276743597078405,1.0001858700550226,7.007501904405702,129.08,100,coorte_firmas,1.1701762651817076,1.1701762651817076,1.169906164679119
A,A_C000002,coorte de 100 firmas,100,18459,0.001469618918953132,1.000427903136691,10.737640876870767,184.59,100,coorte_firmas,1.3995516815591196,1.3995516815591196,1.399228636541172
A,A_C000003,coorte de 100 firmas,100,6052,0.00048183182715772003,1.0000256122035704,2.6166839352448186,60.52,100,coorte_firmas,0.801178915079402,0.801178915079402,0.8009939866766774
A,A_C000004,coorte de 100 firmas,100,4847,0.000385895384374334,1.0000178660915062,2.0992228491621914,48.47,100,coorte_firmas,0.7169923848353362,0.7169923848353362,0.7168268883975273
A,A_C000005,coorte de 100 firmas,100,4964,0.0003952103750844221,1.000015466713741,2.0483480623006542,49.64,100,coorte_firmas,0.7255933510006456,0.7255933510006456,0.7254258692847609
A,A_C000006,coorte de 100 firmas,100,8705,0.0006930512318915983,1.0001765665694484,6.3821954406813965,87.05,100,coorte_firmas,0.9609565925248978,0.9609565925248978,0.9607347841817194
A,A_C000007,coorte de 100 firmas,100,7577,0.0006032451676097232,1.0000334820088077,3.033035255396807,75.77,100,coorte_firmas,0.896459648528388,0.896459648528388,0.8962527273928101
A,A_C000008,coorte de 100 firmas,100,5048,0.00040189806072243406,1.0000136724216964,1.9772484916662487,50.48,100,coorte_firmas,0.731705995433616,0.731705995433616,0.7315371027949648
A,A_C000009,coorte de 100 firmas,100,4825,0.00038414384765961653,1.0000118039965402,1.8329678772879865,48.25,100,coorte_firmas,0.7153607575288436,0.7153607575288436,0.715195637703831
A,A_C000010,coorte de 100 firmas,100,34181,0.002721330747534374,1.0017093103418206,22.913760555500286,341.81,100,coorte_firmas,1.9059468523400338,1.9059468523400338,1.9055069210082833
A,A_C000011,coorte de 100 firmas,100,10436,0.0008308653252177737,1.0001740565936306,6.557968690062851,104.36,100,coorte_firmas,1.0521696348829228,1.0521696348829228,1.0519267727127983
A,A_C000012,coorte de 100 firmas,100,67543,0.00537745656009813,1.0021667638083864,26.402320875366488,675.43,100,coorte_firmas,2.6799552874667376,2.6799552874667376,2.6793366992321292
A,A_C000013,coorte de 100 firmas,100,6172,0.0004913856637834515,1.0000185356976634,2.3013522027905817,61.72,100,coorte_firmas,0.809079442189958,0.809079442189958,0.8088926901847501
A,A_C000014,coorte de 100 firmas,100,9251,0.0007365211885386762,1.000149805113244,6.117004590280983,92.51,100,coorte_firmas,0.9906192225396153,0.9906192225396153,0.990390567457605
A,A_C000015,coorte de 100 firmas,100,30747,0.002447931789428027,1.001351888378856,20.525483167316292,307.47,100,coorte_firmas,1.8072855838375448,1.8072855838375448,1.8068684255349539
