setor,id_firma,faixa_pessoal,numero_firmas_representadas,pessoal_ocupado_firma,market_share_domestico,preco_relativo,qualidade_media_ponderada,pessoal_ocupado_medio_por_firma,peso_variedade,tipo_agente,qualidade,qualidade_efetiva_coorte,qualidade_por_firma
A,A_C000001,coorte de 10000 firmas,10000,1094605,0.0871473111642393,1.000564038268338,10.117070483497784,109.4605,10000,coorte_firmas,0.9869449462556159,0.9869449462556159,0.9635235497738656
A,A_C000002,coorte de 10000 firmas,10000,1217730,0.09694994561876577,1.000815862299752,12.08272196382101,121.773,10000,coorte_firmas,1.0411307908753589,1.0411307908753589,1.0164234988070793
A,A_C000003,coorte de 10000 firmas,10000,1092227,0.08695798596843937,1.0005040528875893,9.417109669584834,109.2227,10000,coorte_firmas,0.9858368444803075,0.9858368444803075,0.962441744593033
A,A_C000004,coorte de 10000 firmas,10000,1141721,0.0908984658847223,1.0005936339081773,10.361135169075121,114.1721,10000,coorte_firmas,1.0079800017478353,1.0079800017478353,0.9840594179744657
A,A_C000005,coorte de 10000 firmas,10000,1433727,0.11414661269916664,1.0010773800572208,14.89667954937765,143.3727,10000,coorte_firmas,1.1298768251321436,1.1298768251321436,1.1030634824048104
A,A_C000006,coorte de 10000 firmas,10000,1118212,0.0890267896744363,1.0008128643615768,11.804318921398899,111.8212,10000,coorte_firmas,0.9976795760709872,0.9976795760709872,0.9740034338489154
A,A_C000007,coorte de 10000 firmas,10000,1143245,0.09101979960986908,1.000695803334208,11.294595047439044,114.3245,10000,coorte_firmas,1.0087143109766037,1.0087143109766037,0.9847763011576856
A,A_C000008,coorte de 10000 firmas,10000,1293604,0.10299067728660531,1.0010345588056162,14.132639617988733,129.3604,10000,coorte_firmas,1.0732166392638824,1.0732166392638824,1.0477479112316093
A,A_C000009,coorte de 10000 firmas,10000,1144537,0.09112266258420612,1.0007817732243773,11.685658905330188,114.4537,10000,coorte_firmas,1.009336156092301,1.009336156092301,0.9853833891371717
A,A_C000010,coorte de 10000 firmas,10000,1234336,0.09827203737715658,1.0011186230388813,14.69825614269488,123.4336,10000,coorte_firmas,1.0483958711460981,1.0483958711460981,1.023516169941789
